testcase,result,format,date,source,engine,useragent
bidi-table-001,pass,XHTML,2010-10-06T23:11:00+00:00,microsoft,Trident,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
bidi-table-001,pass,XHTML,2010-10-19T01:18:00+00:00,mozilla,Gecko,Mozilla/5.0 (X11; Linux x86_64; rv:2.0b6) Gecko/20100101 Firefox/4.0b6
bidi-table-001,pass,XHTML,2010-10-19T03:44:00+00:00,apple,WebKit,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-us) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
bidi-table-001,pass,XHTML,2010-11-18T17:58:00+00:00,microsoft,Trident,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
bidi-table-001,pass,XHTML,2010-12-08T15:54:00+00:00,clilley,Prince,Prince/7.1 (http://www.princexml.com; Windows NT 5.1)
bidi-table-001,pass,XHTML,2011-01-20T13:28:00+00:00,tallcomponents,WebToPDF,Mozilla/5.0 (compatible; MSIE 8.0) TallComponents/1.0 WebToPDF/1.0.3.2 WebToPDF.NET/1.0.3.2
bidi-table-001,pass,XHTML,2011-01-25T13:58:00+00:00,tallcomponents,WebToPDF,Mozilla/5.0 (compatible; MSIE 8.0) TallComponents/1.0 WebToPDF/1.0.3.4_pre WebToPDF.NET/1.0.3.4_pre
bidi-table-001,pass,XHTML,2011-02-10T13:42:00+00:00,tallcomponents,WebToPDF,Mozilla/5.0 (compatible; MSIE 8.0) TallComponents/1.0 WebToPDF/1.0.3.6_pre WebToPDF.NET/1.0.3.6_pre
bidi-table-001,pass,XHTML,2011-02-21T12:23:00+00:00,tallcomponents,WebToPDF,Mozilla/5.0 (compatible; MSIE 8.0) TallComponents/1.0 WebToPDF/1.0.3.6 WebToPDF.NET/1.0.3.6
bidi-table-001,pass,XHTML,2011-04-11T10:00:00+00:00,tallcomponents,WebToPDF,Mozilla/5.0 (compatible; MSIE 8.0) TallComponents/1.0 WebToPDF/2.0.1.0 WebToPDF.NET/2.0.1.0
bidi-table-001,pass,XHTML,2011-06-09T19:00:00+00:00,microsoft,Trident,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; Zune 4.7; MS-RTC LM 8; InfoPath.3)
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,173.177.35.10,Gecko,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:13.0) Gecko/20100101 Firefox/13.0.1
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,173.179.231.103,WebKit,Mozilla/5.0 (compatible; Konqueror/4.5; Linux 2.6.35-23-generic-pae; X11; i686; fr) KHTML/4.5.4 (like Gecko) Kubuntu
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,81.83.54.156,WebKit,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-us) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,apple,WebKit,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-us) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5"
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,google,WebKit,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.3 (KHTML, like Gecko) Chrome/6.0.472.63 Safari/534.3"
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,microsoft,Trident,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,microsoft,Trident,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,microsoft,Trident,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; Zune 4.7; MS-RTC LM 8; InfoPath.3)
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,mozilla,Gecko,Mozilla/5.0 (X11; Linux x86_64; rv:2.0b6) Gecko/20100101 Firefox/4.0b6
bidi-table-001,pass,HTML 4,2012-11-25T20:51:25+00:00,opera,Presto,Opera/9.80 (Windows NT 5.0; U; en) Presto/2.6.37 Version/10.70
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-03-24T17:14:34+00:00,109.35.114.15,WebKit,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.172 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-04-07T16:05:02+00:00,2a01:e35:8bd7:5e0:4586:b17:f70f:e620,WebKit,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-04-21T16:36:25+00:00,188.107.168.87,Gecko,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:20.0) Gecko/20100101 Firefox/20.0
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-15T14:36:00+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-16T08:12:36+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-16T08:34:45+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-16T08:36:23+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T05:56:41+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.30 (KHTML, like Gecko) Chromium/25.0.1349.2 Chrome/25.0.1349.2 Safari/537.30"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T06:18:34+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.63 Safari/537.31"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T06:41:14+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T07:07:14+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T07:09:02+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T08:40:45+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-17T08:49:42+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,pass,HTML,2013-05-17T10:01:07+00:00,94.153.230.50,WebKit,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22"
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:11+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:29+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:34+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:42+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:45+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:51+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:03:57+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:01+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:06+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:09+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:14+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:18+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:21+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:25+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-05-27T06:04:30+00:00,92.63.240.149,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-06-04T11:47:48+00:00,83.163.61.230,Presto,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.15
writing-mode-vertical-lr-002,fail,HTML,2013-06-10T18:00:31+00:00,96.5.119.8,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
extract-ordered-list-direction-and-writing-modes,fail,HTML,2013-06-20T13:33:49+00:00,195.167.134.220,Trident,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)
css-flexbox-row,fail,HTML,2013-06-27T09:01:28+00:00,76.235.176.169,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
css-flexbox-row-reverse-wrap,fail,HTML,2013-06-27T09:03:16+00:00,76.235.176.169,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
css-flexbox-row-wrap,fail,HTML,2013-06-27T09:03:49+00:00,76.235.176.169,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0
css-flexbox-row,pass,HTML,2013-06-27T12:09:32+00:00,217.7.56.111,WebKit,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
css-flexbox-row-reverse-wrap,pass,XHTML,2013-06-27T12:09:50+00:00,217.7.56.111,WebKit,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
css-flexbox-row-wrap-reverse,fail,HTML,2013-06-27T18:17:52+00:00,130.14.254.24,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20130624 Firefox/23.0
css-flexbox-row,fail,HTML,2013-06-27T18:19:19+00:00,130.14.254.24,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20130624 Firefox/23.0
css-flexbox-row-reverse-wrap,fail,HTML,2013-06-27T18:19:32+00:00,130.14.254.24,Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20130624 Firefox/23.0
css-flexbox-row,pass,HTML,2013-06-28T09:03:00+00:00,95.89.104.252,Gecko,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:22.0) Gecko/20100101 Firefox/22.0
css-flexbox-row-reverse-wrap,fail,HTML,2013-06-28T19:50:03+00:00,65.83.231.95,Gecko,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:25.0) Gecko/20130628 Firefox/25.0
